"Historian","Period"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Ulrich Middeldorf","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","renaissance"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","16th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","17th century"
"Wolfgang Lotz","baroque"
"Wolfgang Lotz","baroque"
